run	metric	query	value
summaryOnly	num_ret               	1	1000
summaryOnly	recip_rank            	27	0.0476
summaryOnly	iprec_at_recall_0.00  	27	0.0488
summaryOnly	iprec_at_recall_0.10  	27	0.0488
summaryOnly	iprec_at_recall_0.20  	27	0.0303
summaryOnly	iprec_at_recall_0.30  	27	0.0303
summaryOnly	iprec_at_recall_0.40  	27	0.0205
summaryOnly	iprec_at_recall_0.50  	27	0.0163
summaryOnly	iprec_at_recall_0.60  	27	0.0163
summaryOnly	iprec_at_recall_0.70  	27	0.0149
summaryOnly	iprec_at_recall_0.80  	27	0
summaryOnly	iprec_at_recall_0.90  	27	0
summaryOnly	iprec_at_recall_1.00  	27	0
summaryOnly	P_5                   	27	0
summaryOnly	P_10                  	27	0
summaryOnly	P_15                  	27	0
summaryOnly	P_20                  	27	0
summaryOnly	P_30                  	27	0.0333
summaryOnly	P_100                 	27	0.02
summaryOnly	P_200                 	27	0.02
summaryOnly	P_500                 	27	0.012
summaryOnly	P_1000                	27	0.01
summaryOnly	num_ret               	28	1000
summaryOnly	num_rel               	28	212
summaryOnly	num_rel_ret           	28	25
summaryOnly	map                   	28	0.0113
summaryOnly	Rprec                 	28	0.0425
summaryOnly	bpref                 	28	0.0574
summaryOnly	recip_rank            	28	0.5
summaryOnly	iprec_at_recall_0.00  	28	0.5
summaryOnly	iprec_at_recall_0.10  	28	0.0294
summaryOnly	iprec_at_recall_0.20  	28	0
summaryOnly	iprec_at_recall_0.30  	28	0
summaryOnly	iprec_at_recall_0.40  	28	0
summaryOnly	iprec_at_recall_0.50  	28	0
summaryOnly	iprec_at_recall_0.60  	28	0
summaryOnly	iprec_at_recall_0.70  	28	0
summaryOnly	iprec_at_recall_0.80  	28	0
summaryOnly	iprec_at_recall_0.90  	28	0
summaryOnly	iprec_at_recall_1.00  	28	0
summaryOnly	P_5                   	28	0.4
summaryOnly	P_10                  	28	0.3
summaryOnly	P_15                  	28	0.2667
summaryOnly	P_20                  	28	0.2
summaryOnly	P_30                  	28	0.1333
summaryOnly	P_100                 	28	0.06
summaryOnly	P_200                 	28	0.045
summaryOnly	P_500                 	28	0.03
summaryOnly	P_1000                	28	0.025
summaryOnly	num_ret               	29	1000
summaryOnly	num_rel               	29	118
summaryOnly	num_rel_ret           	29	31
summaryOnly	map                   	29	0.0404
summaryOnly	Rprec                 	29	0.0932
summaryOnly	bpref                 	29	0.1155
summaryOnly	recip_rank            	29	1
summaryOnly	iprec_at_recall_0.00  	29	1
summaryOnly	iprec_at_recall_0.10  	29	0.0993
summaryOnly	iprec_at_recall_0.20  	29	0.0491
summaryOnly	iprec_at_recall_0.30  	29	0
summaryOnly	iprec_at_recall_0.40  	29	0
summaryOnly	iprec_at_recall_0.50  	29	0
summaryOnly	iprec_at_recall_0.60  	29	0
summaryOnly	iprec_at_recall_0.70  	29	0
summaryOnly	iprec_at_recall_0.80  	29	0
summaryOnly	iprec_at_recall_0.90  	29	0
summaryOnly	iprec_at_recall_1.00  	29	0
summaryOnly	P_5                   	29	0.4
summaryOnly	P_10                  	29	0.4
summaryOnly	P_15                  	29	0.3333
summaryOnly	P_20                  	29	0.25
summaryOnly	P_30                  	29	0.1667
summaryOnly	P_100                 	29	0.1
summaryOnly	P_200                 	29	0.085
summaryOnly	P_500                 	29	0.048
summaryOnly	P_1000                	29	0.031
summaryOnly	num_ret               	3	1000
summaryOnly	num_rel               	3	152
summaryOnly	num_rel_ret           	3	24
summaryOnly	map                   	3	0.0093
summaryOnly	Rprec                 	3	0.0658
summaryOnly	bpref                 	3	0.0918
summaryOnly	recip_rank            	3	0.04
summaryOnly	iprec_at_recall_0.00  	3	0.1125
summaryOnly	iprec_at_recall_0.10  	3	0.041
summaryOnly	iprec_at_recall_0.20  	3	0
summaryOnly	iprec_at_recall_0.30  	3	0
summaryOnly	iprec_at_recall_0.40  	3	0
summaryOnly	iprec_at_recall_0.50  	3	0
summaryOnly	iprec_at_recall_0.60  	3	0
summaryOnly	iprec_at_recall_0.70  	3	0
summaryOnly	iprec_at_recall_0.80  	3	0
summaryOnly	iprec_at_recall_0.90  	3	0
summaryOnly	iprec_at_recall_1.00  	3	0
summaryOnly	P_5                   	3	0
summaryOnly	P_10                  	3	0
summaryOnly	P_15                  	3	0
summaryOnly	P_20                  	3	0
summaryOnly	P_30                  	3	0.0667
